,hnn,hnn_ensemble,mc_dropout,concrete_dropout,extra,rf,usnrt
Electrical,0.02912121212121212,0.07309090909090908,0.08403434343434343,0.031850505050505046,0.09382626262626262,0.06088686868686869,*0.022946464646464645
Conditional,0.03503715834507623,0.07545308129472353,0.20843549021848143,0.08525235598549381,0.15797394134051027,0.11491682641242758,*0.01367276451147419
Appliances,0.0921650659112022,0.11771368613932584,0.23259562946413723,0.1083801583097251,0.14684422128556912,0.13871750184899412,*0.05158729939373465
Real-time,0.128356057689391,0.13600602000602002,0.2299996033329367,0.17065001598334933,0.23105046305046306,0.22897104097104098,*0.03006067139400473
Industry,0.04650660716756608,0.11760972741109728,0.17761676121950093,0.09356104423227711,0.08872320234306538,0.11534574051012407,*0.045633757668004246
Facebook1,0.09984563584563586,0.14265364265364264,0.26815683082349745,0.16369659969659972,0.14332181398848065,0.12232325698992366,*0.04863896597229931
Beijing,*0.03418778784008669,0.04762396958086613,0.11815232787646579,0.049176516119044854,0.07277865822980764,0.06041035837300205,0.03765192151399048
Physicochemical,*0.02645266573453759,0.04410201291285918,0.15097714958462827,0.038209181250510794,0.05514036494399495,0.06028510780227377,0.027886377441592836
Traffic,0.03748132921372212,0.037785191401621225,0.21536298992413502,0.03759550907896515,*0.03447232411240295,0.035128394200274714,0.03642253045966354
Blog,0.13757880330017733,0.18659881255301106,0.2741995142262318,0.13500435654252446,0.17789420926825503,0.17017221836687485,*0.12179104017271955
Power,0.021147376088238353,*0.017595882518431163,0.16277207789455023,0.02138020417837282,0.025296497982495697,0.0208612874259574,0.02073494194135171
Online,0.01862543146078801,0.0736640402718763,0.12449979184150876,0.047123637332839925,0.06406863135975586,0.05865502153908057,*0.0176952662482938
Facebook2,0.10835964142438963,0.14875464601124072,0.2280332514097502,0.15221596770757442,0.14667773473528872,0.1261235760420413,*0.04973240739187982
Year,*0.03564090909090909,0.044207575757575765,0.21144141414141418,0.2485358585858586,0.07626414141414142,0.07049040404040405,0.041579797979797974
Query,0.014036924070700247,0.05337530020109018,0.11729177991731471,0.02681829427907639,0.12243937030997001,0.09564710630536648,*0.012376748545779541
GPU,*0.030363653087163028,0.05334972238945749,0.19949871228844734,0.06573608602582114,0.08174489096260619,0.059510126095391004,0.03143951936584387
Wave,0.12553591470258138,0.18870282687991025,0.15712261503928168,0.10759697671156004,0.0945319514590348,0.05979043911335578,*0.017894746071829403
