,hnn,extra,rf,usnrt
Electrical,*0.037408080808080814,0.09382626262626262,0.06088686868686869,0.06916868686868687
Conditional,0.059101344403397184,0.15797394134051027,0.11491682641242758,*0.021434182630663573
Appliances,0.0868151799218432,0.14684422128556912,0.13871750184899412,*0.05588664962265164
Real-time,0.1378994192327526,0.23105046305046306,0.22897104097104098,*0.02336602336602337
Industry,0.0343523592085236,0.08872320234306538,0.11534574051012407,*0.024853500761035006
Facebook1,0.09810081276747944,0.14332181398848065,0.12232325698992366,*0.07803850470517137
Beijing,0.03732965672046132,0.07277865822980764,0.06041035837300205,*0.033321094082588334
Physicochemical,0.030712902035884764,0.05514036494399495,0.06028510780227377,*0.02724817384428143
Traffic,0.037363134508658837,*0.03447232411240295,0.035128394200274714,0.036737766630101455
Blog,0.15433036471586087,0.17789420926825503,0.17017221836687485,*0.123999537358316
Power,0.022594375652750322,0.025296497982495697,0.0208612874259574,*0.02039110679476952
Online,0.01909360964445649,0.06406863135975586,0.05865502153908057,*0.008877273131107543
Facebook2,0.11443876631406609,0.14667773473528872,0.1261235760420413,*0.09130218498084205
Year,0.034868686868686875,0.07626414141414142,0.07049040404040405,*0.03351010101010102
Query,0.016165816386487404,0.12243937030997001,0.09564710630536648,*0.011292974277287116
GPU,0.030363653087163028,0.08174489096260619,0.059510126095391004,*0.023223208910295
Wave,0.14721661054994387,0.0945319514590348,0.05979043911335578,*0.015216400112233446
