,hnn,extra,rf,usnrt
Electrical,*0.11163191532170691,0.5880516282126029,0.4841541647821398,0.1370527183615963
Conditional,*0.03561424623910964,0.3705699924192268,0.24358974672582448,0.08562592185290252
Appliances,0.6403162601052863,0.7559170486745577,0.722296910665065,*0.5450782513146948
Real-time,0.020140557744716615,0.01806170372028145,*0.017389156520701783,0.028409795732947107
Industry,*0.012594745353348605,0.06819689729026673,0.04093935776466738,0.01831491236111083
Facebook1,0.2796390588984495,0.21956982767359276,0.18029724144987141,*0.17464633261275883
Beijing,0.6478044003130693,0.7492581887287025,0.6741290476043248,*0.6218842234093269
Physicochemical,0.6058142914425906,0.7979407247764281,0.6773497641598885,*0.6045228434272503
Traffic,0.9660604143796959,0.9593601393644814,*0.9503700744359331,0.955032623688564
Blog,0.5659678077124769,0.274625526182417,*0.248130368813944,0.3562098562486808
Power,0.7092539980829208,0.7900155766512367,*0.693748764514243,0.7032197416658035
Online,0.06118233218766378,0.12540204685100903,0.09383020067156157,*0.05082033108230942
Facebook2,0.34609939098256903,0.21449981152628322,*0.17833325829452346,0.17972954183091372
Year,0.7421527102641876,0.9094625791893277,0.860831695057627,*0.7181390777767542
Query,0.07794081686564178,0.2175593292838126,0.10968790106191076,*0.07333860827803522
GPU,0.03686060024701942,0.049732416024097836,0.03401054192028506,*0.027465724142352186
Wave,*0.00010033119029971049,0.047289830459024906,0.04073634029191583,0.0005143096926387392
