,hnn,hnn_ensemble,mc_dropout,concrete_dropout,extra,rf,usnrt
Electrical,0.06770000000000001,0.14477500000000001,0.13967500000000005,*0.023549999999999998,0.1933,0.14175000000000001,0.04687500000000001
Conditional,*0.014583158776707156,0.1564097193129451,0.6266652702136574,0.13789275240888146,0.24474235441977377,0.20500628403854212,0.018043569333891906
Appliances,0.12116797567772992,0.16768431720293894,0.3401190777805928,0.14967063592601976,0.19253863693944767,0.1875601722827464,*0.057116797567773006
Real-time,0.12915915915915915,0.2320859320859321,0.1301108801108801,0.19957264957264959,0.24111804111804114,0.23712173712173712,*0.053178563178563155
Industry,*0.03803795662100455,0.22785388127853884,0.23047945205479453,0.17099029680365296,0.20138413242009134,0.20710616438356166,0.06813641552511412
Facebook1,0.1451159951159951,0.19989010989010986,0.14104395604395603,0.22715506715506714,0.18777777777777777,0.1528815628815629,*0.06835775335775336
Beijing,0.04131944444444443,0.08478208812260538,0.3066451149425288,0.055830938697318,0.11771431992337164,0.08857758620689654,*0.017361111111111112
Physicochemical,*0.022519134047671124,0.06907937896348129,0.4199486114148262,0.03495189153728406,0.10089109993439756,0.10865952328886945,0.024442379182156148
Traffic,0.07613318120526916,0.07750751996680841,0.6492220723991288,0.07557825951664762,*0.06616014936209935,0.06891401306918368,0.07126335442381493
Blog,0.1772280534351145,0.21876431297709925,0.19483301526717559,0.19889790076335878,0.21458969465648856,0.20627385496183206,*0.14228530534351147
Power,0.02257916825639066,0.027823349866463166,0.4830360549408622,0.02215757344524988,0.07056943914536437,0.06659671880961464,*0.0205980541777947
Online,0.02468561459620557,0.16172130551719124,0.07416151777277023,0.07009013593079887,0.14536599549320348,0.1283528385549175,*0.02335174820091591
Facebook2,0.15800897743343784,0.2040183238024965,0.13712537662177954,0.1959447826354301,0.2003504888396975,0.17239439217856484,*0.08056939064133309
Year,0.043474999999999986,0.06764999999999999,0.58435,0.2499875,0.10953750000000001,0.0990375,*0.021125000000000005
Query,*0.010254197002677046,0.1344604568540619,0.17507318171582978,0.04089419299957464,0.22358577897870852,0.19213640571442867,0.018043984087667914
GPU,*0.026070985099337723,0.1476459023178808,0.257005380794702,0.048220198675496706,0.176536630794702,0.1375155215231788,0.03570985099337748
Wave,0.20508246527777776,0.24844618055555553,0.24958333333333332,0.21418402777777779,0.1898263888888889,0.1424392361111111,*0.02237413194444443
