,hnn,extra,rf,usnrt
Electrical,*0.0702,0.1933,0.14175000000000001,0.1992
Conditional,0.023858399664851277,0.24474235441977377,0.20500628403854212,*0.015680770842061174
Appliances,0.11235115277425893,0.19253863693944767,0.1875601722827464,*0.06327590575120347
Real-time,0.14956802956802956,0.24111804111804114,0.23712173712173712,*0.025516285516285497
Industry,*0.03355450913242007,0.20138413242009134,0.20710616438356166,0.03641267123287669
Facebook1,0.12531135531135532,0.18777777777777777,0.1528815628815629,*0.09291819291819292
Beijing,0.042875957854406135,0.11771431992337164,0.08857758620689654,*0.02230603448275863
Physicochemical,*0.024706975727093815,0.10089109993439756,0.10865952328886945,0.02558714191996502
Traffic,0.07589461674100195,*0.06616014936209935,0.06891401306918368,0.07287107146561558
Blog,0.19116889312977098,0.21458969465648856,0.20627385496183206,*0.14207538167938932
Power,0.02523464326592902,0.07056943914536437,0.06659671880961464,*0.022897748950782105
Online,0.015627680453587263,0.14536599549320348,0.1283528385549175,*0.009164061932107276
Facebook2,0.16413330873762527,0.2003504888396975,0.17239439217856484,*0.11902785463936542
Year,0.035424999999999984,0.10953750000000001,0.0990375,*0.016337500000000005
Query,*0.00876554329605439,0.22358577897870852,0.19213640571442867,0.013146438489829632
GPU,*0.026070985099337723,0.176536630794702,0.1375155215231788,0.029770281456953623
Wave,0.22383680555555557,0.1898263888888889,0.1424392361111111,*0.027252604166666666
