,evidential0,evidential0.005,evidential0.01,evidential0.05,usnrt_ensemble
Electrical,-0.8547301054000854,-0.870076596736908,*-0.8865728139877319,-0.8599706888198853,-0.49692104532590176
Conditional,-1.523527240753174,-1.5746550798416137,-1.6263330221176147,-1.450637412071228,*-1.8348521328297784
Appliances,0.10372419431805609,*0.09743433445692054,0.1059224352240562,0.1204401165246963,0.41059927077057834
Real-time,-5.420308780670166,*-5.567579460144043,-5.4079365730285645,-5.436864185333252,-5.259616527584155
Industry,-4.0306977272033695,-4.005345392227173,*-4.079863882064819,-4.070336103439331,-3.78314523553136
Facebook1,*-2.825838327407837,-2.809876823425293,-2.785351037979126,-2.7624409675598143,-1.7914162260759645
Beijing,0.6990662574768066,0.7056957483291626,0.7068030357360839,0.728926682472229,*0.6960250708756206
Physicochemical,*0.637979781627655,0.6481323599815368,0.6417621731758117,0.6914702534675599,0.7676115037507386
Traffic,1.3764105558395385,1.398977279663086,1.4079733848571778,1.4492568492889404,*1.3679694301676537
Blog,-1.5548416137695313,-1.9919550657272338,-1.9501343011856078,*-2.041053581237793,-1.2642276146977884
Power,0.9571922659873963,0.9607531070709229,0.96817467212677,1.0005356192588806,*0.8982410279835786
Online,-2.1643065452575683,-2.1445461750030517,-2.152322769165039,-2.1175965785980226,*-2.342806036911495
Facebook2,*-2.854627227783203,-2.840796375274658,-2.8305190563201905,-2.8505273342132567,-1.8090972016355813
Year,0.9532346725463868,0.956425964832306,*0.948659598827362,0.9836593866348268,0.9880668925334425
Query,-1.79234516620636,-1.7708544731140137,-1.781415581703186,-1.7057340145111084,*-2.18703195522418
GPU,-2.3843979835510254,-2.367553234100342,-2.374287366867065,-2.364520788192749,*-2.834467307310461
Wave,-4.890514373779297,-4.855301856994629,-4.892605304718018,-4.884100437164307,*-6.982790024974471
