,evidential0,evidential0.005,evidential0.01,evidential0.05,usnrt_ensemble
Electrical,*0.16342018223195506,0.1662052292954741,0.16509599973427896,0.16937058953731826,0.1854718611121995
Conditional,0.04701917621469372,0.04568797697950534,*0.043605811634794524,0.05184362384800502,0.09605681875589542
Appliances,0.8614018238702045,0.8546612680075871,0.8661833802077368,0.8651383487244914,*0.7918706281917821
Real-time,0.3036521391824335,0.22269333045680137,0.1286708845976739,0.44392300558624986,*0.060535787611541395
Industry,0.024672619162529656,*0.024054288700446857,0.024152137472393177,0.025597554230108475,0.03238479928462077
Facebook1,0.7443717997844438,0.7770257525530785,0.7749870760107653,0.7853857781415117,*0.6900451576905311
Beijing,0.7562105366874118,0.7636012727437508,0.768424656880652,0.7832362703529131,*0.7250312870848091
Physicochemical,0.7141176566363704,0.7185203366285269,0.7152509380838615,0.7185451068956541,*0.6371650827633587
Traffic,0.9673349026583692,0.9681980738196945,0.9678061799280506,0.9691023439375652,*0.9626493607354971
Blog,11166.313292932566,0.9357441239367891,1.0271843948334383,0.9985746853088052,*0.7658090459901168
Power,0.8208539281995225,0.8195312308866235,0.8226167862883935,0.8284654246132798,*0.7966819657145727
Online,0.13348102097093717,0.12849108982686977,0.1300541907574835,0.144591287428982,*0.09998520395763746
Facebook2,0.7376025610891028,0.7419995405898885,0.7678014182226157,0.7187049250204632,*0.7156920607750541
Year,0.8384276224059144,0.827964291138565,0.8338341688078644,0.8488767325165205,*0.8135678228474518
Query,0.2948966520491392,0.275130278573934,0.2173894399342342,0.2164907410396958,*0.1662890557282597
GPU,0.0659086972055731,0.0612242686141311,0.0694322656126971,0.0630928683942479,*0.03888351807880367
Wave,0.00225530616381,0.0031645267626513,0.0031398686047985,0.0034018151462707,*0.0005190874279296724
