,mc_dropout,concrete_dropout,hnn_ensemble,evidential,usnrt_ensemble
Electrical,0.2928009126257839,0.16774403124515824,*0.14710883767640656,0.165095999734279,0.1854718611121995
Conditional,0.9971226895804752,0.21338789571981948,*0.035338592800385024,0.04360581163479456,0.09605681875589542
Appliances,0.9436855527130472,0.9047771109952784,0.8033202770511452,0.8661833802077368,*0.7918706281917821
Real-time,0.24027182916334108,0.6158141739160826,0.06745781246249898,0.1286708845976739,*0.060535787611541395
Industry,0.10729331359382803,0.03684335119693759,0.025196519609061264,*0.024152137472393233,0.03238479928462077
Facebook1,0.8254213176156103,3.9073868135190635,0.7576276236849903,0.7749870760107653,*0.6900451576905311
Beijing,0.799223059357572,0.7641983837442998,0.7306191837158243,0.7684246568806519,*0.7250312870848091
Physicochemical,0.7948479080305466,0.7875127136528155,*0.6297539254331168,0.7152509380838615,0.6371650827633587
Traffic,0.9779662200134458,0.998245496832836,0.967557607912001,0.9678061799280504,*0.9626493607354971
Blog,0.9482029841839974,3.139305979211719,0.955320776003116,1.0271843948334383,*0.7658090459901168
Power,0.8573585037470913,0.8299267302618265,0.8019128917584449,0.8226167862883933,*0.7966819657145727
Online,0.4287621367054017,0.422367268837242,0.10726824600842097,0.13005419075748356,*0.09998520395763746
Facebook2,0.8449129130291337,2.2833142844912357,0.7254850662008201,0.7678014182226158,*0.7156920607750541
Year,0.9918678801911969,10.49219437205245,*0.8020303909526946,0.8338341688078644,0.8135678228474518
Query,0.35492960137710605,0.32890604744659374,*0.16407802873074023,0.21738943993423426,0.1662890557282597
GPU,0.2424980574131457,0.24001345650043387,0.05889148412425536,0.06943226561269711,*0.03888351807880367
Wave,0.07523520933610187,0.033757950838137686,*6.696522995909817e-05,0.0031398686047985286,0.0005190874279296724
